Spanish,Frequency,Tagalog,Frequency,English,Frequency,Hiligaynon,Frequency,Bikol,Frequency,Waray,Frequency,Ilocano,Frequency,Cebuano,Frequency,Kapampangan,Frequency,Pangasinense,Frequency,Yakan,Frequency,Ivatan,Frequency,Tausug,Frequency,Yami,Frequency,Tuwali-Ifugao,Frequency,Masbateno,Frequency
orq,579,_is,910,d_s,588,ind,786,nab,704,asa,736,._I,717,_la,799,sal,728,a_k,725,a_p,849,ant,786,u_n,1007,ina,893,ol_,696,atu,763
_ca,578,ya',901,ow_,586,ngo,781,lin,703,tin,735,mak,713,a_d,790,aku,716,"to,",725,en_,847,s_d,784,ama,1000,_mo,880,a_o,693,imo,761
_fu,564,uwa,896,com,579,nan,780,lan,699,s_h,730,_la,708,awa,783,san,708,a._,722,and,842,si_,782,gka,999,aza,879,a_d,692,us_,759
o_q,558,sab,877,ur_,578,n_a,779,a._,693,_da,728,n_k,705,uba,782,_an,706,ra_,718,Man,836,ka_,774,_Sa,997,ori,869,mu_,691,_Na,756
",_q",557,a_b,871,im_,574,ro_,778,agt,682,ndi,726,".""_",703,a._,774,u_i,706,iba,711,anj,834,o_v,769,mpa,994,n._,866,n_b,690,uha,747
fue,552,pin,864,_ar,574,_An,759,agk,680,y_n,724,",_n",702,_da,769,atu,704,la_,702,nja,825,nti,767,mbu,988,awa,861,_im,689,a_l,744
o_s,551,o'y,855,s_s,565,mak,750,i_k,676,uha,719,i_i,699,g_b,737,t_m,699,".""_",694,ri_,823,aro,758,n._,987,_or,854,a_h,687,kat,741
e_m,549,y_s,843,t_i,565,Ang,741,"s,_",670,agp,718,at_,695,yon,730,_Ma,697,_Di,685,_su,818,pa_,754,ula,981,y_n,850,tan,686,_Di,741
uer,549,y_m,841,ver,560,god,741,sar,669,n_d,718,_am,693,ot_,714,kit,690,nsa,683,ge_,815,awr,747,ayt,970,ita,843,-an,679,s_n,731
tra,548,sil,822,n_h,558,na_,732,",_a",668,ta_,713,bag,692,"n,_",713,met,690,y_s,681,ell,796,nay,743,",_a",958,kar,842,u_y,677,awo,728
ces,548,ini,806,ay_,552,at_,730,"an,",666,und,709,sin,687,nya,709,_it,688,n_y,680,_ak,794,wri,742,bab,956,ima,832,ala,676,_da,727
mbr,540,nin,806,nt_,551,may,730,uli,665,"an,",707,ao_,681,iha,708,_ri,679,isi,678,em_,792,chi,738,yta,942,mak,832,ha-,673,"o,_",727
a_c,538,tan,785,_wo,543,wal,724,ron,662,uma,696,kas,679,aro,704,lag,670,mpa,676,aba,789,_ar,735,ya.,939,gan,827,kon,672,ot_,725
_he,534,ni_,782,"im,",542,_Sa,722,o._,652,agt,695,"._""",677,ulo,701,pat,668,say,675,_mi,786,gan,725,uk_,934,_ci,815,ahi,670,n_g,722
ino,530,_it,773,hav,539,dto,721,_ki,650,a_s,690,n_d,674,itu,698,_In,666,_ko,674,isa,786,nat,725,kaw,934,Am_,813,_ki,667,as_,706
ro_,528,"an,",770,y_t,538,a._,718,".""_",648,ray,687,in_,671,ron,696,i_k,663,bat,671,_ti,785,ran,724,g_h,932,ika,811,a_t,665,dil,706
esp,526,oon,767,e_d,537,ero,717,li_,641,gsi,686,eng,669,wo_,695,al_,663,ung,668,_am,784,voy,717,lan,925,m_a,801,udu,647,sad,699
su_,526,ko_,763,e_b,535,ton,711,",_n",640,ada,679,nge,664,n._,692,etu,657,let,662,yaa,781,_mi,715,"an,",914,a_y,794,uy_,645,un_,698
man,520,ati,761,oth,533,ita,709,apo,638,aha,672,nku,662,mah,686,n_m,657,nku,661,ab_,778,wan,710,at_,911,ro_,792,aya,644,aw_,692
llo,518,n._,756,hea,532,aw_,705,od_,636,".""_",669,",_k",654,_bu,682,are,656,kas,660,inn,773,ken,707,uun,896,kat,791,a-o,643,agk,687
com,512,ngi,754,t_w,521,_is,698,ran,629,n._,664,gar,654,g_u,677,a_r,653,ing,659,ngk,770,y_n,689,kat,882,"""_M",782,i_t,640,kun,681
",_s",508,"i,_",754,_as,520,han,697,iha,628,t_n,661,"na,",636,o_u,676,ela,653,ran,658,lan,765,naw,689,dtu,878,ka_,775,aan,639,_Ka,679
tod,505,a._,726,ath,517,".""_",697,ili,621,apa,660,ngi,636,ag-,672,nun,650,y_d,656,e_i,759,m_n,681,aha,877,_Ta,770,nom,639,kit,679
",_l",503,_ku,720,ame,513,g_g,687,a_b,621,it_,660,yto,633,aki,666,n_y,649,abi,647,as_,756,han,679,u._,875,nim,769,tak,638,t_s,677
ntr,502,ako,675,e_i,511,_Na,679,_ha,620,ahi,659,ags,633,ban,663,uli,647,oto,645,apa,755,amo,670,tuu,875,a_p,768,mak,635,agp,674
cua,499,i_J,672,t_o,509,_la,672,as_,610,pak,657,adi,633,".""_",663,e_k,645,aan,641,pī_,755,mna,662,_mi,873,map,766,ngu,632,ano,672
ant,495,nas,672,st_,508,_wa,666,an.,608,_sa,657,sa_,625,ina,661,n._,644,ila,639,al_,753,_vi,655,._N,869,han,765,_ni,631,adi,670
",_p",493,ka',669,_fr,505,id_,661,mon,605,gpa,654,_Di,623,i_s,661,iti,644,kan,638,i_p,749,ti_,654,gaw,858,_va,763,hod,631,iha,670
_ho,493,i_s,669,s_w,503,g_b,654,pin,601,Nag,653,nda,622,o._,656,_si,640,o_n,634,_ha,748,ios,648,ubu,846,lam,757,_um,629,_ko,669
_ci,492,sus,667,ple,503,ban,651,bi_,598,n_g,651,a_s,619,inu,656,pam,626,to.,630,pag,744,ng_,648,In_,842,rar,750,aku,628,ulo,668
lla,491,bag,666,man,493,ong,640,n._,596,ama,650,n_i,618,uha,655,e_n,623,_pi,629,e._,743,n_m,648,di_,836,aw_,744,idi,614,s_s,664
n_a,491,gag,650,_bu,483,gid,639,uma,588,Gin,646,nia,617,_ti,654,_ng,621,ine,625,niy,742,ini,647,".""_",834,o_r,739,_ba,611,no_,663
_so,490,_Je,649,red,477,yon,636,kai,585,ka_,645,uma,616,nah,649,",_a",620,key,623,ey_,740,_Di,646,sil,833,ak_,737,ok_,610,awa,658
_pe,490,apu,638,_te,477,mat,635,_al,581,abo,642,y_a,616,agp,646,._I,618,_mo,617,i_i,738,ma_,643,gan,831,y_a,734,tuw,596,gka,658
ido,484,aan,636,n_a,472,n._,634,gsa,581,._N,642,ani,604,gpa,645,kal,618,gaw,610,ann,737,Dio,640,i_n,829,nao,730,",_m",595,di_,656
s_h,483,kun,633,le_,472,ahi,631,n_i,578,ita,628,ant,596,dil,641,._N,614,_im,609,_pī,733,ey_,629,awn,825,._T,725,n_A,593,n_t,655
_vo,483,tap,630,n_o,459,niy,622,_ga,575,s_n,627,wan,591,mag,636,ka_,611,nak,607,du_,732,ako,622,ina,825,pa_,721,_Ha,592,mak,654
a._,479,ami,626,d_b,458,_tu,618,t_n,574,mak,627,pay,589,og_,633,_Di,611,d_k,607,_ke,730,o_i,620,wn_,823,nya,720,u_t,578,n._,652
e_p,479,ibi,616,s_o,457,os_,616,bih,567,wo_,623,ays,588,wal,630,n_i,608,lin,603,a_k,727,_va,617,ra_,821,iny,710,imm,578,may,652
e_v,476,lin,613,ive,456,agk,615,ama,566,o_k,620,bal,587,nii,629,kap,600,ami,600,ung,726,kad,613,lau,821,_ar,707,yan,575,ag-,650
a_q,475,ula,612,_pr,455,_im,615,un_,565,"s,_",619,t_n,577,_Di,627,_nu,600,y_p,596,a_d,723,ino,611,u_h,817,amo,703,yun,575,nam,648
des,473,ta_,611,",_s",452,kit,612,ato,564,ngo,619,idi,570,_ga,626,._M,594,ton,594,_te,716,kar,611,g_s,816,a_i,700,bal,571,pos,643
ere,470,lal,608,_de,450,a_l,609,g_a,562,inu,619,gba,570,mak,623,g_n,593,tot,594,egg,712,n_o,607,an.,813,an.,696,i_p,562,ad_,643
_me,466,ino,604,g_t,447,ari,605,ura,561,sa_,617,ysa,568,ipa,620,li_,592,ita,588,at_,710,din,604,_ki,813,i_o,695,_ah,562,_ga,640
nta,463,aon,596,e_m,446,ati,601,gka,559,nah,613,asi,567,d_s,617,utu,583,no_,586,._S,697,o_D,601,ak_,812,._S,691,hid,560,i_k,639
jo:,458,wa',593,And,443,atu,601,_di,559,_tu,612,aw_,545,uta,616,ti_,581,"s,_",582,ga_,695,ori,599,uud,809,eyn,688,ntu,559,gpa,638
a_t,455,_ko,593,_An,441,abo,598,n_t,556,ngl,612,ali,544,-an,611,nu_,581,ulo,579,a_n,691,kat,598,hin,809,nge,686,mat,559,_ha,626
a_p,454,a_t,590,had,439,ag-,597,n_b,550,ung,611,min,534,ika,610,s_k,578,ngi,576,uma,680,ngo,594,apa,803,ya.,677,s_a,556,o._,618
sto,451,ili,588,rom,438,Nag,597,s_s,549,gka,610,att,531,an.,606,in_,575,bag,575,mbu,679,_ak,591,_pi,802,anc,677,lug,556,gan,617
s;_,451,upa,587,._T,437,uta,593,_ku,549,kay,608,tat,530,kay,604,e_i,569,nya,574,ate,676,nia,590,aan,795,ama,669,_pu,554,adt,614
_pu,451,"ya,",587,s_h,436,lo_,591,i_t,539,ag_,606,i_A,527,mon,602,sin,558,toy,570,bin,674,a_y,589,abu,794,ngo,664,nil,553,god,611
os.,449,si_,584,d_i,432,_bu,588,_mo,538,kit,606,dia,523,g_d,601,_Ng,557,sal,569,k_m,672,y_d,584,yaw,790,m_n,655,n_p,551,gay,609
"n,_",449,pat,583,"n,_",430,nah,586,._A,535,hat,605,add,523,tin,600,kat,554,kin,569,anu,671,ach,584,n_T,788,akm,655,ngn,551,pa_,607
omb,447,_bu,579,ord,429,n_m,586,_la,532,asi,602,tay,523,gay,594,kas,550,a_p,561,sin,670,adi,581,_Ma,784,ono,653,hin,551,ton,601
nos,439,Jes,571,_go,426,gan,575,ag-,531,a_d,600,nap,518,aba,583,lak,542,y_i,549,lai,669,nge,579,ing,782,._O,651,_ti,549,d_n,595
oso,437,"s,_",571,ers,422,nin,567,san,524,_su,596,on_,516,a_l,582,pa_,539,aki,547,san,669,ong,576,awm,782,sya,647,-on,546,._P,584
ién,435,a_l,571,hin,421,gka,566,iri,523,os_,595,i_D,514,_wa,576,mun,538,lab,547,ale,655,yen,572,uuk,774,noy,633,lin,545,pak,581
aqu,434,esu,568,"r,_",417,Gin,563,ano,522,dir,593,tta,514,abo,575,i_J,536,o_r,544,._M,648,_pi,564,da_,774,rah,632,_Ka,544,n_d,572
._E,434,_pi,566,m_t,416,s_s,561,ari,520,a_l,585,_me,511,._A,568,_tu,529,_ki,542,ak_,646,y_a,563,_wa,772,_ip,620,ako,543,gsa,553
_ti,432,sal,565,fro,416,_Ka,559,agd,520,may,580,kit,509,mii,565,u_a,529,",_a",536,i_d,643,api,562,",_i",770,ci_,620,d_d,541,Gin,552
mo_,427,t_i,561,but,414,y_n,557,hul,519,ian,580,s._,501,apa,565,a_p,527,_Ka,535,miy,639,ama,560,._S,768,_O_,619,u._,541,y_n,549
a_a,427,hat,560,e_p,413,ani,555,ani,518,usa,577,met,500,agk,564,Nga,527,sin,531,"ne,",638,kam,557,bun,763,ota,618,h_d,539,kad,549
ios,425,_mo,557,ven,411,._S,552,yo_,512,ika,574,ram,494,hat,559,"n,_",524,t_s,529,a_i,635,apo,546,_Pa,761,cya,617,_pi,537,_su,544
él_,424,puw,550,"em,",410,o._,552,kak,509,buh,571,ida,494,agh,554,ran,520,"an,",528,ant,632,m_m,546,unu,761,oyo,615,dam,530,_am,542
us_,421,tao,548,_ou,410,gap,551,ag_,507,_im,570,s_k,491,._U,554,rel,516,min,524,n_a,631,ani,542,uwa,755,ahe,612,pul,525,_Sa,541
rá_,420,it_,543,y_w,410,pa_,549,nas,499,_Gi,566,_im,489,kit,553,mag,515,a_l,523,dem,629,kak,542,ita,752,aya,612,-ap,522,asu,541
str,420,isi,540,ght,408,tag,547,ibo,499,agk,558,t_i,482,lay,552,ri_,513,._I,521,pat,627,iak,540,ngk,745,_ik,607,mma,521,war,540
_aq,419,_ga,539,les,408,in_,546,t_s,497,la_,555,o_d,481,_in,550,a_y,513,t_n,514,k_p,623,oya,538,",_s",742,in_,604,nat,519,wo_,538
ser,418,t_m,535,est,405,_am,544,kon,497,aya,550,pag,481,_An,550,awa,511,mba,514,ara,616,ayt,536,uli,739,aro,603,na.,511,pat,538
_os,417,t_k,534,"t,_",404,a_d,544,o_m,493,bat,550,lin,478,ari,549,._K,510,g_t,513,te_,612,ono,536,kiy,727,ey_,598,utt,505,i_a,536
ues,415,to_,534,_li,404,ada,543,kat,491,g_n,547,mat,477,o_m,549,bia,508,n_p,511,kit,609,sir,533,isa,726,na.,598,uwe,503,o_p,536
y_d,413,kas,532,ld_,404,y_s,536,bag,491,n-a,545,iak,474,ton,534,api,502,a_i,510,mak,603,ot_,532,pan,722,vaz,595,ing,503,"s,_",534
e_n,411,tay,530,em_,396,int,535,isi,490,_ig,540,ios,474,bot,528,an.,501,_li,509,ite,599,wa_,531,agb,719,yon,593,i_n,501,sur,532
ici,410,wal,527,rea,394,n-a,528,par,490,war,538,Dio,470,agt,527,"s,_",498,met,508,us_,590,es_,530,ug_,714,san,592,gng,501,ios,531
adr,409,kit,526,_st,394,_Si,527,hay,488,y_h,537,ika,466,gka,522,g_e,494,._N,507,kew,587,ota,530,mat,714,wak,591,ibo,500,ato,521
dre,407,;_a,525,ose,390,anu,525,tin,483,an.,534,dal,466,nsa,522,as_,492,o_s,507,ami,578,pak,527,atu,713,oma,589,_ku,500,an.,516
onc,407,"bi,",518,",_b",389,_Di,525,nap,481,o._,532,_no,464,n-a,519,ula,489,asi,502,_na,578,vah,521,agp,701,mya,589,y_k,499,nin,515
nce,407,g_d,517,whe,385,gsa,525,_pi,481,_ki,532,dan,464,ha_,517,g_D,485,ga_,500,_pu,577,asi,520,biy,700,gen,589,ona,493,"n,_",507
s_m,406,_lu,516,ate,383,adt,522,ram,480,ran,531,i_l,462,_su,517,t_i,484,n._,499,_ng,575,i_n,516,_is,695,ao.,589,bon,492,yod,503
jo_,405,_An,514,do_,382,awa,515,agh,477,lan,520,o_m,462,Ang,516,lal,482,y_n,498,gka,574,kas,511,adt,691,m_o,587,et_,492,ada,500
o_p,405,sis,510,e_y,382,uto,514,may,475,no_,518,t_k,459,"o,_",514,ra_,482,Dio,497,kal,572,sin,509,uku,689,yam,586,ad_,490,ila,500
dad,404,lag,509,e_l,381,asa,514,n_g,475,agb,516,a_b,456,bal,514,nit,481,ios,497,"an,",569,_to,509,buu,682,kma,583,mal,490,ins,498
"es,",402,agp,507,",_w",375,pat,512,_Da,473,gli,514,int,456,i_k,512,yun,477,nge,497,kat,566,pin,507,kal,681,cit,583,oy_,490,ka_,498
",_e",401,as_,505,ly_,374,dal,508,ulo,473,_ku,513,"_""A",454,_Sa,511,t_d,475,o_m,495,n_i,565,o._,507,u_d,676,Ta_,581,gge,488,kas,487
_ll,400,mat,505,_si,373,kat,505,hil,472,ag-,512,t_t,453,tub,509,nab,475,g_n,491,_is,564,od_,507,wm_,672,eng,580,aga,487,Dio,486
aro,400,ipa,504,kin,370,-an,499,kun,471,"""_N",506,imm,453,as_,508,bi_,474,iad,485,aki,562,vin,505,mak,668,zay,577,dat,486,n_b,484
da_,399,ngg,503,._A,369,i_k,498,s_a,470,da_,504,gpa,452,ult,507,nam,472,d_a,482,"ye,",560,raw,504,ham,659,y_d,573,abu,485,uga,483
ste,397,_Sa,502,use,366,ios,498,ahi,470,o_m,498,gsa,452,os_,504,s._,466,mak,481,yan,556,_Am,501,_In,658,kak,566,pat,484,uan,481
o;_,392,_ib,502,d_o,365,agh,496,ali,469,kak,496,agt,451,san,500,ati,458,_bi,481,u_i,554,non,499,",_l",653,_So,564,-in,483,bi_,481
y_e,391,mak,500,r_a,364,agt,495,g_i,465,ugo,493,agb,445,sab,498,ios,456,apo,480,aga,550,"ia,",496,_ak,651,nip,549,u_n,480,hal,480
ta_,390,may,499,",_h",363,no_,493,._N,465,gat,491,aen,443,ios,494,ili,456,n_e,479,kas,549,_Ma,495,uma,648,jir,548,_am,475,pan,479
o_t,388,s_n,498,m_a,362,pam,492,i_a,464,_bi,490,da.,441,Dio,492,Dio,454,wan,475,kah,548,_om,493,uga,646,sa_,545,id_,471,uru,478
ará,388,o._,496,say,361,Dio,491,nak,464,lin,485,ten,438,_Un,492,_ti,449,lap,474,den,547,dim,488,li_,639,No_,538,din,471,t_n,477
a_v,387,aw_,495,wor,361,gas,487,pan,460,as_,485,ipa,437,ato,490,iwa,445,apu,473,nun,547,ich,487,ini,638,jin,537,ale,471,usa,473
cho,385,nam,491,od_,359,asi,482,"us,",460,yan,484,iay,436,i_n,486,_pi,443,i_J,472,ut_,547,oh_,481,tay,636,nci,530,aly,468,ati,472
sot,385,kap,490,_ho,358,_su,480,An_,459,kat,484,ing,433,_un,485,ap_,443,_Ma,472,lum,544,isi,477,miy,636,o_c,528,g_n,467,yan,472
o_c,384,big,489,_lo,358,"g,_",477,_gi,458,a_g,481,gap,431,_Si,484,ipa,442,",_i",467,en.,541,a_i,474,ngu,634,So_,524,gu_,467,Kay,471
_ta,384,gsa,486,"er,",355,as_,476,._K,457,tun,481,ag_,430,buh,484,._A,440,ian,465,mon,541,tah,471,ima,634,o_y,522,gul,464,ari,470
l_c,381,t_p,483,_So,354,",_n",476,_Di,446,lit,477,mba,426,Uny,481,lat,438,ngn,463,",_s",540,",_t",470,kab,631,kwa,522,t_m,457,nab,467
ond,380,ano,482,_Wh,354,_bi,472,inu,444,pan,476,._K,425,tag,478,mal,438,_no,462,_bu,540,mia,468,mar,628,_sy,521,ey_,454,sug,465
un_,379,_iy,471,_sh,353,sug,467,_hu,443,._K,476,y_t,422,lo_,477,_bi,435,ud_,460,lew,539,t_d,463,as_,628,yng,508,ih_,454,Nag,465
ton,379,_ti,470,rd_,352,"""_S",464,ayo,443,yos,476,ka_,419,mat,469,s_a,432,t_a,460,g_s,539,"o,_",460,",_m",627,ane,506,y_a,451,agt,465
ten,378,y_i,470,e._,350,d_k,462,"i,_",437,Dyo,472,as_,414,lti,469,_ul,432,and,459,a_b,539,abo,457,sal,625,kam,506,hay,451,agh,463
uan,376,kat,469,s_i,350,_di,462,iba,437,ulo,472,mma,414,git,459,mat,430,._A,454,Sag,538,oma,457,mun,622,cin,505,tut,449,s_k,458
_Ma,373,iyo,466,_He,349,asu,461,bot,436,_Dy,469,n._,412,kad,457,ale,427,gne,454,tu_,534,i_d,457,san,620,ape,505,d-a,449,._K,457
éis,373,ban,465,_fi,349,kal,459,_Ma,435,kin,468,_an,411,ula,456,_lu,426,_wa,450,"n.""",533,mar,455,n_l,619,ako,503,yen,444,ago,452
ert,372,agi,458,e_g,347,_Ma,457,dum,432,ad_,462,ili,410,gad,450,"an,",422,wal,449,agt,530,m_a,455,agu,615,_pe,490,ani,444,tap,448
ran,371,_al,455,dis,347,"la,",455,sip,430,n_s,461,mai,410,_tu,450,_pe,422,pud,442,ka_,524,ak_,454,u_a,605,i_m,489,Kan,444,iri,442
ndi,370,_tu,454,igh,345,ano,454,gin,428,kab,460,aku,410,_ar,443,"na,",414,a_y,441,kka,518,w_a,449,ndu,600,o_v,487,ug_,444,g_m,436
ió_,369,rit,450,_br,344,_Gi,451,ios,427,ins,455,"n,_",409,._S,442,k_n,411,er_,441,k_s,507,ovo,442,ahi,597,ava,483,nak,444,ak_,432
tar,369,gal,450,r_h,342,sul,451,a_l,425,uga,447,s_i,409,Ug_,442,a_t,410,k_n,438,tey,503,pia,442,kit,591,to.,473,s_y,443,_Gi,431
hom,366,mal,449,_my,342,"an,",450,agp,425,i_a,446,uad,408,gha,441,",_i",406,ban,436,ehi,500,oyo,441,u_p,588,g_d,472,nda,440,idt,431
